us-east-1;us-west-1;us-west-2;eu-west-1;eu-central-1;ap-northeast-1;ap-northeast-2;ap-southeast-1;ap-southeast-2;sa-east-1
18;5;25;20;12;3;3;4;37;14
37;9;16;44;14;8;5;4;47;22
24;14;35;44;41;10;11;9;43;28
16;6;30;37;29;4;4;6;38;25
31;14;31;43;28;18;22;0;44;52
9;8;32;33;13;9;9;4;46;26
39;72;39;72;42;30;53;0;65;46
32;18;33;42;38;16;21;0;40;43
18;0;11;24;12;8;0;0;36;12
38;20;37;44;40;21;22;0;41;36
41;12;44;43;33;16;17;0;53;59
16;10;22;38;18;6;7;11;45;20
10;0;20;12;15;0;0;1;42;25
25;11;27;36;32;12;13;10;43;26
14;7;20;23;16;4;5;3;38;14
21;18;27;34;25;10;0;8;41;25
13;8;23;43;7;4;5;5;38;19
32;18;33;42;38;16;21;0;40;43
17;6;13;31;17;2;0;0;43;19
14;7;20;23;16;4;5;3;38;14
27;3;22;25;11;10;9;7;47;16
24;14;35;44;41;10;11;9;43;28
23;0;23;21;11;5;0;2;38;16
5;5;12;15;9;1;0;0;42;27
0;0;16;31;9;1;14;0;42;4
28;13;19;33;24;12;8;7;48;24
17;2;15;32;14;3;4;4;42;16
16;2;29;26;17;8;7;4;49;21
38;20;37;44;40;21;22;0;41;36
31;17;34;52;29;18;19;17;51;31
25;7;5;24;13;8;3;2;45;19
27;3;20;32;27;4;5;4;39;38
17;2;18;22;19;3;2;9;51;15
26;16;37;29;24;17;9;13;57;19
16;4;15;24;24;4;6;3;57;36
31;17;34;52;29;18;19;17;51;31
38;20;37;44;40;21;22;0;41;36
38;20;37;44;40;21;22;0;41;36
17;2;18;22;19;3;2;9;51;15
20;12;25;36;24;8;8;12;43;23
27;7;22;27;10;3;4;3;37;12
30;10;26;29;22;16;14;0;58;31
0;0;16;31;9;1;14;0;42;4
20;8;24;41;23;14;15;19;49;45
17;2;0;16;6;4;0;0;33;13
31;17;34;52;29;18;19;17;51;31
20;12;21;29;24;8;4;7;62;25
21;18;27;34;25;10;0;8;41;25
18;0;18;32;19;3;4;0;40;49
25;3;19;25;24;1;16;0;36;25
