us-east-1;us-west-1;us-west-2;eu-west-1;eu-central-1;ap-northeast-1;ap-northeast-2;ap-southeast-1;ap-southeast-2;sa-east-1
1;6;15;0;0;59;58;0;8;42
0;2;14;5;1;39;82;47;2;5
5;12;20;18;9;26;15;0;14;19
5;12;20;18;9;26;15;0;14;19
0;0;0;0;0;69;94;38;12;0
5;12;20;18;9;26;15;0;14;19
0;2;14;5;1;39;82;47;2;5
0;0;0;0;0;67;74;0;0;4
0;0;7;0;0;42;78;0;1;5
0;2;14;5;1;39;82;47;2;5
0;0;8;10;0;0;0;0;2;8
1;8;15;1;3;59;58;0;9;43
74;77;90;91;73;162;166;99;77;80
3;5;19;18;5;44;75;46;6;18
0;0;2;0;0;57;57;0;17;30
5;1;9;0;0;44;88;0;2;9
1;6;14;0;0;68;59;0;8;40
0;0;0;0;0;80;87;19;12;0
3;5;19;18;5;44;75;46;6;18
50;56;65;45;41;107;107;45;58;92
0;0;8;10;0;0;0;0;2;8
0;3;0;0;0;81;77;0;6;9
0;0;0;0;0;69;94;38;12;0
0;10;18;12;9;0;84;29;1;13
0;0;19;4;0;81;75;0;1;15
0;0;19;4;0;81;75;0;1;15
0;0;0;0;0;80;87;19;12;0
0;0;7;0;0;42;78;0;1;5
50;56;65;45;41;107;107;45;58;92
0;3;0;0;0;81;77;0;6;9
0;2;6;8;0;50;52;0;2;6
50;56;65;45;41;107;107;45;58;92
0;0;8;10;0;0;0;0;2;8
0;10;18;12;9;0;84;29;1;13
0;0;7;0;3;33;25;0;1;15
5;12;20;18;9;26;15;0;14;19
50;56;65;45;41;107;107;45;58;92
5;6;13;11;7;29;20;0;8;37
0;0;2;0;0;57;57;0;17;30
27;24;31;17;13;111;111;0;25;25
50;56;65;45;41;107;107;45;58;92
5;6;13;11;7;29;20;0;8;37
9;9;23;13;9;49;95;63;10;10
1;8;15;1;3;59;58;0;9;43
0;0;7;0;3;33;25;0;1;15
25;25;33;22;15;108;110;42;24;20
0;2;6;8;0;50;52;0;2;6
0;0;7;9;0;20;25;0;1;6
0;0;0;0;0;86;85;22;16;2
0;0;0;0;0;80;87;19;12;0
